<<<<<<< HEAD
time,rr
3.078125,1.0703125
4.0078125,0.9296875
5.015625,1.0078125
6.0078125,0.9921875
10.984375,4.9765625
11.9921875,1.0078125
13,1.0078125
13.984375,0.984375
15.0078125,1.0234375
16.0078125,1
17.0078125,1
18.015625,1.0078125
19.0078125,0.9921875
20.0078125,1
21.0078125,1
31.0078125,10
32.0390625,1.03125
33.015625,0.9765625
34.0078125,0.9921875
35.0234375,1.015625
36.0078125,0.984375
37.0078125,1
43,5.9921875
43.9765625,0.9765625
45.0390625,1.0625
45.765625,0.7265625
46.6875,0.921875
47.0078125,0.3203125
48.015625,1.0078125
49.0078125,0.9921875
49.46875,0.4609375
50.3671875,0.8984375
50.9765625,0.609375
52.1953125,1.21875
53.015625,0.8203125
54.03125,1.015625
55.0078125,0.9765625
55.9609375,0.953125
57,1.0390625
58.0078125,1.0078125
59.0078125,1
62.9921875,3.984375
63.9921875,1
67,3.0078125
69.0078125,2.0078125
70.0078125,1
71.0234375,1.015625
72.0078125,0.984375
73.0078125,1
75.9765625,2.96875
76.9921875,1.015625
77.984375,0.9921875
78.8515625,0.8671875
79.9921875,1.140625
80.5625,0.5703125
82.015625,1.453125
83.0078125,0.9921875
84.0234375,1.015625
85.03125,1.0078125
86.03125,1
88.0078125,1.9765625
91.0078125,3
92.03125,1.0234375
96.1484375,4.1171875
97.0078125,0.859375
98.0078125,1
99.0078125,1
100.0078125,1
103.953125,3.9453125
104.9765625,1.0234375
106.0078125,1.03125
107.0078125,1
108.0078125,1
109.0078125,1
110.0078125,1
111.0078125,1
112.0078125,1
116.9765625,4.96875
118.0078125,1.03125
119.0078125,1
125.0078125,6
126.0078125,1
127.015625,1.0078125
128.0078125,0.9921875
129.0078125,1
130.0078125,1
130.9609375,0.953125
132.0078125,1.046875
137.2265625,5.21875
138.1953125,0.96875
138.9609375,0.765625
139.984375,1.0234375
141.03125,1.046875
141.953125,0.921875
142.984375,1.03125
144,1.015625
144.90625,0.90625
145.890625,0.984375
147.90625,2.015625
148.9609375,1.0546875
149.9921875,1.03125
152.0078125,2.015625
153.0078125,1
154.0078125,1
161.0078125,7
162.0078125,1
163.0078125,1
164.0078125,1
165.0078125,1
166.0078125,1
167.0078125,1
168.0078125,1
170.9921875,2.984375
171.9921875,1
172.9765625,0.984375
173.9765625,1
174.9765625,1
175.9765625,1
176.9921875,1.015625
177.984375,0.9921875
178.984375,1
179.984375,1
181.0078125,1.0234375
182.0078125,1
183.015625,1.0078125
190,6.984375
190.9765625,0.9765625
191.9765625,1
192.984375,1.0078125
195.25,2.265625
196.15625,0.90625
197.078125,0.921875
198,0.921875
198.921875,0.921875
199.84375,0.921875
200.7421875,0.8984375
201.6640625,0.921875
201.953125,0.2890625
202.5703125,0.6171875
203.4921875,0.921875
204.4140625,0.921875
205.0546875,0.640625
205.3515625,0.296875
206.2734375,0.921875
207.0546875,0.78125
208.0078125,0.953125
209.03125,1.0234375
209.921875,0.890625
215.9921875,6.0703125
217.015625,1.0234375
218.0234375,1.0078125
219.0234375,1
220.03125,1.0078125
221.0234375,0.9921875
222.0078125,0.984375
223.0078125,1
225.609375,2.6015625
226.5703125,0.9609375
227.0078125,0.4375
227.53125,0.5234375
228.0078125,0.4765625
228.4921875,0.484375
229.0078125,0.515625
229.453125,0.4453125
230.0234375,0.5703125
230.40625,0.3828125
231.03125,0.625
231.359375,0.328125
232.0078125,0.6484375
232.3046875,0.296875
233.2265625,0.921875
234.15625,0.9296875
235.078125,0.921875
236.0234375,0.9453125
236.9609375,0.9375
237.8984375,0.9375
238.859375,0.9609375
239.8046875,0.9453125
240.7578125,0.953125
241.6953125,0.9375
242.640625,0.9453125
243.6015625,0.9609375
244.5703125,0.96875
245.546875,0.9765625
246.5234375,0.9765625
247.484375,0.9609375
248.4375,0.953125
249,0.5625
249.3984375,0.3984375
250.015625,0.6171875
250.375,0.359375
251.03125,0.65625
251.3671875,0.3359375
252.0078125,0.640625
252.3359375,0.328125
253.0234375,0.6875
253.3359375,0.3125
254.296875,0.9609375
255.2890625,0.9921875
256.2578125,0.96875
257.25,0.9921875
258.2578125,1.0078125
259.265625,1.0078125
260.0078125,0.7421875
260.265625,0.2578125
261.0078125,0.7421875
261.2734375,0.265625
262.015625,0.7421875
262.2890625,0.2734375
263.015625,0.7265625
263.296875,0.28125
264,0.703125
264.2734375,0.2734375
265.265625,0.9921875
266.0078125,0.7421875
267.1953125,1.1875
268.15625,0.9609375
269.140625,0.984375
270.1328125,0.9921875
271.09375,0.9609375
272.0625,0.96875
273.0390625,0.9765625
274.015625,0.9765625
274.9765625,0.9609375
275.9609375,0.984375
276.9375,0.9765625
277.8984375,0.9609375
278.84375,0.9453125
279.8046875,0.9609375
280.734375,0.9296875
281.671875,0.9375
282.0078125,0.3359375
282.609375,0.6015625
283.5703125,0.9609375
284.546875,0.9765625
300.234375,15.6875
306.375,6.140625
319.9921875,13.6171875
320.7578125,0.765625
321.0625,0.3046875
321.3671875,0.3046875
322.0078125,0.640625
322.46875,0.4609375
323.0078125,0.5390625
323.9140625,0.90625
324.3984375,0.484375
325.015625,0.6171875
325.7109375,0.6953125
326.0078125,0.296875
332.1953125,6.1875
332.640625,0.4453125
333.0390625,0.3984375
333.4140625,0.375
334.015625,0.6015625
334.3828125,0.3671875
334.8359375,0.453125
335.34375,0.5078125
336.5625,1.21875
337.0234375,0.4609375
337.3359375,0.3125
338.0390625,0.703125
339.8828125,1.84375
340.9140625,1.03125
